,Transaction,Item
0,1,杏仁巧克力豆
1,1,草莓季限定款巧克力禮盒
2,2,杏仁巧克力豆
3,2,杏仁巧克力豆
4,2,杏仁巧克力豆
5,2,海鹽巧克力BAR
6,2,海鹽巧克力BAR
7,2,海鹽巧克力BAR
8,2,草莓季限定款巧克力禮盒
9,3,杏仁巧克力豆
10,3,草莓季限定款巧克力禮盒
11,4,杏仁巧克力豆
12,4,草莓季限定款巧克力禮盒
13,4,草莓季限定款巧克力禮盒
14,5,杏仁巧克力豆
15,5,草莓季限定款巧克力禮盒
16,5,草莓季限定款巧克力禮盒
17,5,草莓季限定款巧克力禮盒
18,6,杏仁巧克力豆
19,6,草莓季限定款巧克力禮盒
20,7,牛奶巧克力BAR
21,7,杏仁巧克力豆
22,7,杏仁巧克力豆
23,7,抹茶拿鐵生巧克力
24,7,經典生巧克力
25,7,草莓季限定款巧克力禮盒
26,7,草莓季限定款巧克力禮盒
27,7,草莓季限定款巧克力禮盒
28,8,杏仁巧克力豆
29,8,海鹽巧克力BAR
30,8,經典生巧克力
31,8,草莓季限定款巧克力禮盒
32,9,杏仁巧克力豆
33,9,抹茶拿鐵生巧克力
34,9,85%巧克力禮盒
35,9,綜合巧克力禮盒(大盒)
36,10,杏仁巧克力豆
37,10,草莓季限定款巧克力禮盒
38,11,杏仁巧克力豆
39,11,經典生巧克力
40,12,烘培可可豆
41,12,烘培可可豆
42,12,烘培可可豆
43,13,杏仁巧克力豆
44,13,85%巧克力禮盒
45,13,85%巧克力禮盒
46,13,草莓季限定款巧克力禮盒
47,14,杏仁巧克力豆
48,14,杏仁巧克力豆
49,14,杏仁巧克力豆
50,14,杏仁巧克力豆
51,14,經典生巧克力
52,14,經典生巧克力
53,14,草莓季限定款巧克力禮盒
54,14,草莓季限定款巧克力禮盒
55,14,草莓季限定款巧克力禮盒
56,14,草莓季限定款巧克力禮盒
57,14,草莓季限定款巧克力禮盒
58,14,草莓季限定款巧克力禮盒
59,14,草莓季限定款巧克力禮盒
60,15,經典生巧克力
61,15,經典生巧克力
62,16,杏仁巧克力豆
63,16,抹茶拿鐵生巧克力
64,16,草莓季限定款巧克力禮盒
65,17,綜合巧克力禮盒(小盒)
66,17,海鹽巧克力BAR
67,17,草莓季限定款巧克力禮盒
68,18,杏仁巧克力豆
69,18,杏仁巧克力豆
70,18,杏仁巧克力豆
71,18,抹茶拿鐵生巧克力
72,18,抹茶拿鐵生巧克力
73,18,抹茶拿鐵生巧克力
74,19,綜合巧克力禮盒(小盒)
75,19,草莓季限定款巧克力禮盒
76,19,草莓季限定款巧克力禮盒
77,20,草莓季限定款巧克力禮盒
78,20,草莓季限定款巧克力禮盒
79,21,草莓季限定款巧克力禮盒
80,22,花生巧克力BAR
81,22,草莓季限定款巧克力禮盒
82,23,草莓季限定款巧克力禮盒
83,23,草莓季限定款巧克力禮盒
84,23,草莓季限定款巧克力禮盒
85,23,草莓季限定款巧克力禮盒
86,23,草莓季限定款巧克力禮盒
87,24,牛奶巧克力BAR
88,24,杏仁巧克力豆
89,24,天然可可豆茶
90,24,天然可可豆茶
91,24,杏仁可可瓦片
92,24,杏仁可可瓦片
93,24,杏仁可可瓦片
94,24,海鹽巧克力BAR
95,24,草莓季限定款巧克力禮盒
96,24,綜合巧克力禮盒(大盒)
97,24,綜合巧克力禮盒(大盒)
98,24,綜合巧克力禮盒(大盒)
99,25,草莓季限定款巧克力禮盒
100,25,草莓季限定款巧克力禮盒
101,26,草莓季限定款巧克力禮盒
102,26,草莓季限定款巧克力禮盒
103,27,杏仁巧克力豆
104,27,草莓季限定款巧克力禮盒
105,28,草莓季限定款巧克力禮盒
106,28,草莓季限定款巧克力禮盒
107,29,草莓季限定款巧克力禮盒
108,29,綜合巧克力禮盒(大盒)
109,29,綜合巧克力禮盒(大盒)
110,29,綜合巧克力禮盒(大盒)
111,29,綜合巧克力禮盒(大盒)
112,30,牛奶巧克力BAR
113,30,杏仁巧克力豆
114,30,草莓季限定款巧克力禮盒
115,31,草莓季限定款巧克力禮盒
116,32,抹茶拿鐵生巧克力
117,32,草莓季限定款巧克力禮盒
118,33,草莓季限定款巧克力禮盒
119,34,草莓季限定款巧克力禮盒
120,34,草莓季限定款巧克力禮盒
121,35,草莓季限定款巧克力禮盒
122,35,草莓季限定款巧克力禮盒
123,36,草莓季限定款巧克力禮盒
124,36,草莓季限定款巧克力禮盒
125,36,草莓季限定款巧克力禮盒
126,36,草莓季限定款巧克力禮盒
127,36,草莓季限定款巧克力禮盒
128,36,草莓季限定款巧克力禮盒
129,36,草莓季限定款巧克力禮盒
130,36,草莓季限定款巧克力禮盒
131,36,草莓季限定款巧克力禮盒
132,36,草莓季限定款巧克力禮盒
133,37,75%巧克力禮盒
134,37,草莓季限定款巧克力禮盒
135,38,綜合巧克力禮盒(小盒)
136,38,牛奶巧克力BAR
137,38,95%黑巧克力冰淇淋
138,38,經典生巧克力
139,38,草莓季限定款巧克力禮盒
140,39,綜合巧克力禮盒(小盒)
141,39,綜合巧克力禮盒(小盒)
142,39,海鹽巧克力BAR
143,39,草莓季限定款巧克力禮盒
144,39,草莓季限定款巧克力禮盒
145,40,草莓季限定款巧克力禮盒
146,40,草莓季限定款巧克力禮盒
147,41,杏仁巧克力豆
148,41,天然可可豆茶
149,41,65%巧克力禮盒
150,42,杏仁巧克力豆
151,42,杏仁可可瓦片
152,42,草莓季限定款巧克力禮盒
153,42,草莓季限定款巧克力禮盒
154,42,草莓季限定款巧克力禮盒
155,43,草莓季限定款巧克力禮盒
156,44,草莓季限定款巧克力禮盒
157,45,草莓季限定款巧克力禮盒
158,45,草莓季限定款巧克力禮盒
159,45,草莓季限定款巧克力禮盒
160,46,草莓季限定款巧克力禮盒
161,46,草莓季限定款巧克力禮盒
162,46,綜合巧克力禮盒(大盒)
163,46,綜合巧克力禮盒(大盒)
164,47,草莓季限定款巧克力禮盒
165,48,杏仁巧克力豆
166,48,杏仁巧克力豆
167,48,杏仁巧克力豆
168,48,經典生巧克力
169,48,經典生巧克力
170,48,經典生巧克力
171,49,杏仁巧克力豆
172,49,杏仁巧克力豆
173,49,杏仁巧克力豆
174,49,天然可可豆茶
175,49,經典生巧克力
176,49,草莓季限定款巧克力禮盒
177,50,經典生巧克力
178,50,草莓季限定款巧克力禮盒
179,51,草莓季限定款巧克力禮盒
180,52,杏仁巧克力豆
181,52,草莓季限定款巧克力禮盒
182,53,草莓季限定款巧克力禮盒
183,54,草莓季限定款巧克力禮盒
184,54,草莓季限定款巧克力禮盒
185,54,草莓季限定款巧克力禮盒
186,55,草莓季限定款巧克力禮盒
187,55,草莓季限定款巧克力禮盒
188,56,紅藜巧克力BAR
189,56,紅藜巧克力BAR
190,56,紅藜巧克力BAR
191,57,杏仁巧克力豆
192,57,草莓季限定款巧克力禮盒
193,57,草莓季限定款巧克力禮盒
194,57,草莓季限定款巧克力禮盒
195,57,草莓季限定款巧克力禮盒
196,57,草莓季限定款巧克力禮盒
197,58,牛奶巧克力BAR
198,58,牛奶巧克力BAR
199,58,杏仁可可瓦片
200,58,杏仁可可瓦片
201,58,杏仁可可瓦片
202,58,杏仁可可瓦片
203,59,杏仁巧克力豆
204,59,杏仁巧克力豆
205,59,草莓季限定款巧克力禮盒
206,60,95%巧克力磚
207,60,草莓季限定款巧克力禮盒
208,61,草莓季限定款巧克力禮盒
209,61,草莓季限定款巧克力禮盒
210,62,95%黑巧克力冰淇淋
211,62,抹茶拿鐵生巧克力
212,62,草莓季限定款巧克力禮盒
213,63,草莓季限定款巧克力禮盒
214,64,草莓季限定款巧克力禮盒
215,64,草莓季限定款巧克力禮盒
216,64,草莓季限定款巧克力禮盒
217,64,綜合巧克力禮盒(大盒)
218,64,綜合巧克力禮盒(大盒)
219,65,草莓季限定款巧克力禮盒
220,65,草莓季限定款巧克力禮盒
221,66,草莓季限定款巧克力禮盒
222,66,草莓季限定款巧克力禮盒
223,66,草莓季限定款巧克力禮盒
224,66,草莓季限定款巧克力禮盒
225,66,草莓季限定款巧克力禮盒
226,67,草莓季限定款巧克力禮盒
227,67,草莓季限定款巧克力禮盒
228,68,草莓季限定款巧克力禮盒
229,68,草莓季限定款巧克力禮盒
230,68,草莓季限定款巧克力禮盒
231,68,草莓季限定款巧克力禮盒
232,68,草莓季限定款巧克力禮盒
233,69,85%巧克力磚
234,69,75%巧克力磚
235,69,紅藜巧克力BAR
236,69,天然可可豆茶
237,69,85%巧克力禮盒
238,70,綜合巧克力禮盒(小盒)
239,70,綜合巧克力禮盒(小盒)
240,70,杏仁巧克力豆
241,70,杏仁可可瓦片
242,70,杏仁可可瓦片
243,70,海鹽巧克力BAR
244,70,經典生巧克力
245,70,草莓季限定款巧克力禮盒
246,70,草莓季限定款巧克力禮盒
247,71,草莓季限定款巧克力禮盒
248,72,經典生巧克力
249,72,草莓季限定款巧克力禮盒
250,73,95%巧克力磚
251,73,草莓季限定款巧克力禮盒
252,74,草莓季限定款巧克力禮盒
253,75,95%巧克力磚
254,75,草莓季限定款巧克力禮盒
255,75,草莓季限定款巧克力禮盒
256,75,綜合巧克力禮盒(大盒)
257,75,綜合巧克力禮盒(大盒)
258,75,綜合巧克力禮盒(大盒)
259,75,綜合巧克力禮盒(大盒)
260,76,85%巧克力磚
261,76,75%巧克力磚
262,76,65%巧克力磚
263,76,草莓季限定款巧克力禮盒
264,77,抹茶拿鐵生巧克力
265,77,草莓季限定款巧克力禮盒
266,78,杏仁巧克力豆
267,78,草莓季限定款巧克力禮盒
268,78,草莓季限定款巧克力禮盒
269,79,綜合巧克力禮盒(小盒)
270,79,杏仁巧克力豆
271,79,草莓季限定款巧克力禮盒
272,79,草莓季限定款巧克力禮盒
273,80,草莓季限定款巧克力禮盒
274,80,草莓季限定款巧克力禮盒
275,80,草莓季限定款巧克力禮盒
276,80,草莓季限定款巧克力禮盒
277,80,草莓季限定款巧克力禮盒
278,81,杏仁巧克力豆
279,81,草莓季限定款巧克力禮盒
280,82,85%巧克力磚
281,82,75%巧克力磚
282,82,草莓季限定款巧克力禮盒
283,83,85%巧克力磚
284,83,75%巧克力磚
285,83,草莓季限定款巧克力禮盒
286,84,綜合巧克力禮盒(小盒)
287,84,綜合巧克力禮盒(小盒)
288,84,65%巧克力磚
289,84,杏仁巧克力豆
290,85,杏仁巧克力豆
291,85,杏仁巧克力豆
292,85,杏仁巧克力豆
293,85,草莓季限定款巧克力禮盒
294,86,100%無糖巧克力磚
295,86,85%巧克力磚
296,86,75%巧克力磚
297,86,草莓季限定款巧克力禮盒
298,87,草莓季限定款巧克力禮盒
299,88,抹茶拿鐵生巧克力
300,88,65%巧克力禮盒
301,88,65%巧克力禮盒
302,88,草莓季限定款巧克力禮盒
303,88,草莓季限定款巧克力禮盒
304,89,100%無糖巧克力磚
305,89,杏仁巧克力豆
306,89,天然可可豆茶
307,89,天然可可豆茶
308,90,杏仁巧克力豆
309,90,95%黑巧克力冰淇淋
310,90,95%黑巧克力冰淇淋
311,90,95%黑巧克力冰淇淋
312,90,95%黑巧克力冰淇淋
313,90,95%黑巧克力冰淇淋
314,90,95%黑巧克力冰淇淋
315,90,花生巧克力BAR
316,90,經典生巧克力
317,90,草莓季限定款巧克力禮盒
318,90,草莓季限定款巧克力禮盒
319,90,草莓季限定款巧克力禮盒
320,91,花生巧克力BAR
321,91,經典生巧克力
322,91,草莓季限定款巧克力禮盒
323,91,草莓季限定款巧克力禮盒
324,91,草莓季限定款巧克力禮盒
325,92,牛奶巧克力BAR
326,92,草莓季限定款巧克力禮盒
327,93,草莓季限定款巧克力禮盒
328,93,草莓季限定款巧克力禮盒
329,93,草莓季限定款巧克力禮盒
330,93,草莓季限定款巧克力禮盒
331,93,草莓季限定款巧克力禮盒
332,94,95%巧克力磚
333,94,85%巧克力磚
334,94,75%巧克力磚
335,94,杏仁巧克力豆
336,94,經典生巧克力
337,94,草莓季限定款巧克力禮盒
338,94,草莓季限定款巧克力禮盒
339,95,杏仁巧克力豆
340,95,草莓季限定款巧克力禮盒
341,95,草莓季限定款巧克力禮盒
342,95,草莓季限定款巧克力禮盒
343,95,草莓季限定款巧克力禮盒
344,96,100%無糖巧克力磚
345,96,草莓季限定款巧克力禮盒
346,96,草莓季限定款巧克力禮盒
347,96,草莓季限定款巧克力禮盒
348,97,85%巧克力磚
349,97,洛神花巧克力BAR
350,97,杏仁巧克力豆
351,97,海鹽巧克力BAR
352,97,經典生巧克力
353,97,草莓季限定款巧克力禮盒
354,98,杏仁巧克力豆
355,98,花生巧克力BAR
356,98,草莓季限定款巧克力禮盒
357,98,草莓季限定款巧克力禮盒
358,98,草莓季限定款巧克力禮盒
359,99,杏仁巧克力豆
360,99,海鹽巧克力BAR
361,99,抹茶拿鐵生巧克力
362,99,草莓季限定款巧克力禮盒
363,99,綜合巧克力禮盒(大盒)
364,99,綜合巧克力禮盒(大盒)
365,99,綜合巧克力禮盒(大盒)
366,100,草莓季限定款巧克力禮盒
367,100,草莓季限定款巧克力禮盒
368,100,草莓季限定款巧克力禮盒
369,101,杏仁巧克力豆
370,101,杏仁巧克力豆
371,101,杏仁可可瓦片
372,101,杏仁可可瓦片
373,101,草莓季限定款巧克力禮盒
374,101,草莓季限定款巧克力禮盒
375,102,杏仁巧克力豆
376,102,經典生巧克力
377,102,草莓季限定款巧克力禮盒
378,102,草莓季限定款巧克力禮盒
379,102,草莓季限定款巧克力禮盒
380,102,草莓季限定款巧克力禮盒
381,103,草莓季限定款巧克力禮盒
382,103,草莓季限定款巧克力禮盒
383,103,草莓季限定款巧克力禮盒
384,103,草莓季限定款巧克力禮盒
385,103,草莓季限定款巧克力禮盒
386,104,75%巧克力磚
387,104,75%巧克力磚
388,104,65%巧克力磚
389,105,100%無糖巧克力磚
390,105,牛奶巧克力BAR
391,105,杏仁巧克力豆
392,105,海鹽巧克力BAR
393,105,草莓季限定款巧克力禮盒
394,105,草莓季限定款巧克力禮盒
395,106,65%巧克力禮盒
396,106,草莓季限定款巧克力禮盒
397,106,草莓季限定款巧克力禮盒
398,106,草莓季限定款巧克力禮盒
399,106,草莓季限定款巧克力禮盒
400,107,草莓季限定款巧克力禮盒
401,108,100%無糖巧克力磚
402,108,100%無糖巧克力磚
403,108,天然可可豆茶
404,108,天然可可豆茶
405,108,杏仁可可瓦片
406,108,海鹽巧克力BAR
407,108,草莓季限定款巧克力禮盒
408,108,草莓季限定款巧克力禮盒
409,108,草莓季限定款巧克力禮盒
410,109,75%巧克力磚
411,109,65%巧克力磚
412,109,杏仁巧克力豆
413,109,杏仁可可瓦片
414,109,杏仁可可瓦片
415,109,抹茶拿鐵生巧克力
416,109,草莓季限定款巧克力禮盒
417,110,杏仁巧克力豆
418,110,杏仁可可瓦片
419,110,草莓季限定款巧克力禮盒
420,111,85%巧克力磚
421,111,天然可可豆茶
422,111,花生巧克力BAR
423,111,草莓季限定款巧克力禮盒
424,112,綜合巧克力禮盒(小盒)
425,112,100%無糖巧克力磚
426,112,杏仁巧克力豆
427,112,杏仁可可瓦片
428,112,草莓季限定款巧克力禮盒
429,113,100%無糖巧克力磚
430,113,杏仁巧克力豆
431,113,草莓季限定款巧克力禮盒
432,113,草莓季限定款巧克力禮盒
433,114,草莓季限定款巧克力禮盒
434,114,草莓季限定款巧克力禮盒
435,115,100%無糖巧克力磚
436,115,100%無糖巧克力磚
437,115,紅藜巧克力BAR
438,115,經典生巧克力
439,116,75%巧克力磚
440,116,牛奶巧克力BAR
441,116,草莓季限定款巧克力禮盒
442,117,95%巧克力磚
443,117,85%巧克力磚
444,117,草莓季限定款巧克力禮盒
445,118,草莓季限定款巧克力禮盒
446,118,草莓季限定款巧克力禮盒
447,118,草莓季限定款巧克力禮盒
448,118,草莓季限定款巧克力禮盒
449,118,草莓季限定款巧克力禮盒
450,119,100%無糖巧克力磚
451,119,95%巧克力磚
452,120,經典生巧克力
453,120,草莓季限定款巧克力禮盒
454,121,經典生巧克力
455,121,草莓季限定款巧克力禮盒
456,122,杏仁巧克力豆
457,122,杏仁巧克力豆
458,122,杏仁巧克力豆
459,122,杏仁巧克力豆
460,122,杏仁巧克力豆
461,122,杏仁巧克力豆
462,122,杏仁巧克力豆
463,122,杏仁可可瓦片
464,123,100%無糖巧克力磚
465,123,洛神花巧克力BAR
466,123,經典生巧克力
467,124,抹茶拿鐵生巧克力
468,124,抹茶拿鐵生巧克力
469,124,抹茶拿鐵生巧克力
470,124,抹茶拿鐵生巧克力
471,124,抹茶拿鐵生巧克力
472,124,經典生巧克力
473,124,經典生巧克力
474,124,經典生巧克力
475,124,經典生巧克力
476,124,經典生巧克力
477,124,草莓季限定款巧克力禮盒
478,124,草莓季限定款巧克力禮盒
479,124,草莓季限定款巧克力禮盒
480,124,草莓季限定款巧克力禮盒
481,124,草莓季限定款巧克力禮盒
482,125,草莓季限定款巧克力禮盒
483,125,草莓季限定款巧克力禮盒
484,126,草莓季限定款巧克力禮盒
485,126,草莓季限定款巧克力禮盒
486,127,杏仁巧克力豆
487,127,杏仁可可瓦片
488,127,杏仁可可瓦片
489,127,杏仁可可瓦片
490,127,杏仁可可瓦片
491,127,杏仁可可瓦片
492,127,杏仁可可瓦片
493,127,杏仁可可瓦片
494,128,草莓季限定款巧克力禮盒
495,128,草莓季限定款巧克力禮盒
496,129,草莓季限定款巧克力禮盒
497,129,草莓季限定款巧克力禮盒
498,129,草莓季限定款巧克力禮盒
499,129,草莓季限定款巧克力禮盒
500,129,草莓季限定款巧克力禮盒
501,129,草莓季限定款巧克力禮盒
502,130,草莓季限定款巧克力禮盒
503,130,草莓季限定款巧克力禮盒
504,131,草莓季限定款巧克力禮盒
505,131,草莓季限定款巧克力禮盒
506,131,草莓季限定款巧克力禮盒
507,131,草莓季限定款巧克力禮盒
508,131,草莓季限定款巧克力禮盒
509,131,草莓季限定款巧克力禮盒
510,131,草莓季限定款巧克力禮盒
511,131,草莓季限定款巧克力禮盒
512,132,牛奶巧克力BAR
513,132,洛神花巧克力BAR
514,132,海鹽巧克力BAR
515,132,花生巧克力BAR
516,132,草莓季限定款巧克力禮盒
517,132,草莓季限定款巧克力禮盒
518,132,草莓季限定款巧克力禮盒
519,133,草莓季限定款巧克力禮盒
520,134,100%無糖巧克力磚
521,134,洛神花巧克力BAR
522,134,杏仁巧克力豆
523,134,杏仁可可瓦片
524,134,抹茶拿鐵生巧克力
525,134,經典生巧克力
526,134,草莓季限定款巧克力禮盒
527,135,95%巧克力磚
528,135,85%巧克力磚
529,135,75%巧克力磚
530,135,杏仁巧克力豆
531,135,杏仁巧克力豆
532,135,杏仁可可瓦片
533,135,杏仁可可瓦片
534,135,杏仁可可瓦片
535,135,海鹽巧克力BAR
536,135,海鹽巧克力BAR
537,135,抹茶拿鐵生巧克力
538,135,抹茶拿鐵生巧克力
539,135,經典生巧克力
540,135,經典生巧克力
541,136,草莓季限定款巧克力禮盒
542,136,草莓季限定款巧克力禮盒
543,136,草莓季限定款巧克力禮盒
544,137,85%巧克力磚
545,137,杏仁巧克力豆
546,137,杏仁巧克力豆
547,137,杏仁巧克力豆
548,137,草莓季限定款巧克力禮盒
549,137,草莓季限定款巧克力禮盒
550,138,65%巧克力禮盒
551,139,草莓季限定款巧克力禮盒
552,139,草莓季限定款巧克力禮盒
553,139,草莓季限定款巧克力禮盒
554,140,85%巧克力磚
555,140,洛神花巧克力BAR
556,140,杏仁巧克力豆
557,140,杏仁巧克力豆
558,140,95%黑巧克力冰淇淋
559,140,95%黑巧克力冰淇淋
560,140,95%黑巧克力冰淇淋
561,140,海鹽巧克力BAR
562,140,抹茶拿鐵生巧克力
563,141,95%黑巧克力冰淇淋
564,141,海鹽巧克力BAR
565,141,草莓季限定款巧克力禮盒
566,141,草莓季限定款巧克力禮盒
567,141,草莓季限定款巧克力禮盒
568,142,草莓季限定款巧克力禮盒
569,142,草莓季限定款巧克力禮盒
570,142,草莓季限定款巧克力禮盒
571,142,草莓季限定款巧克力禮盒
572,142,草莓季限定款巧克力禮盒
573,143,杏仁巧克力豆
574,143,草莓季限定款巧克力禮盒
575,143,草莓季限定款巧克力禮盒
576,143,草莓季限定款巧克力禮盒
577,143,草莓季限定款巧克力禮盒
578,144,95%黑巧克力冰淇淋
579,144,草莓季限定款巧克力禮盒
580,144,草莓季限定款巧克力禮盒
581,144,草莓季限定款巧克力禮盒
582,144,草莓季限定款巧克力禮盒
583,145,杏仁巧克力豆
584,145,杏仁可可瓦片
585,145,杏仁可可瓦片
586,145,杏仁可可瓦片
587,145,草莓季限定款巧克力禮盒
588,146,75%巧克力磚
589,146,75%巧克力磚
590,146,牛奶巧克力BAR
591,146,杏仁巧克力豆
592,146,天然可可豆茶
593,146,杏仁可可瓦片
594,146,杏仁可可瓦片
595,147,85%巧克力磚
596,147,75%巧克力磚
597,147,75%巧克力磚
598,147,75%巧克力磚
599,147,75%巧克力磚
600,147,牛奶巧克力BAR
601,147,牛奶巧克力BAR
602,147,杏仁巧克力豆
603,147,天然可可豆茶
604,147,天然可可豆茶
605,147,天然可可豆茶
606,147,杏仁可可瓦片
607,147,杏仁可可瓦片
608,147,海鹽巧克力BAR
609,147,花生巧克力BAR
610,148,95%巧克力磚
611,148,洛神花巧克力BAR
612,148,海鹽巧克力BAR
613,148,經典生巧克力
614,148,經典生巧克力
615,148,草莓季限定款巧克力禮盒
616,149,75%巧克力磚
